Prov,Network,name,District,size,longitude,latitude
XKH,4G,XKH0025_PHONHKHRAM,Pek,6,103.529477,19.539723
VTE,4G,VTE0432_KHOK_NOY,XAITHANY,15,102.68807,18.03582
KHM,3G,KHM0235_NAMTHERN,Gnommalat,8,105.16807,17.64527
BLK,3G,BLK0026_PAKSAN_TAI,PAKSAN,6,103.662025,18.374778
SLV,3G,SLV0019_BEUNGKHAM,SALAVAN,4,106.12627,15.6981
VTE,3G,VTE0123_PHONSOMBOUN3,Sikhottabong,6,102.520695,18.005253
KHM,2G,KHM0123_HADKHAMHIENG,Gnommalat,3,105.246,17.5342
VTE,2G,VTE0514_PHOUKHAM,Xaithani,3,102.63557,18.14051
XKG,4G,XKG0059_BORTHAHIN,KALEUM,3,106.675095,15.763692
BLK,3G,BLK0010_HONGXAI,PAKSAN,9,103.645,18.4045
CHP,4G,CHP0026_SANAMXAI2,Pakxe,6,105.82442,15.11029
UDX,4G,UDX0142_HUAYON_AMT,NAMOR,10,101.769412,20.889818
VTE,4G,VTE0144_WATTAI_AIRPORT,Sikhottabong,19,102.568,17.9729
BLK,3G,BLK0016_KOUAYOUDOM,PAKSAN,8,103.582808,18.408744
LPB,3G,LPB0222_SUANKUAY_BANHUAYYANG,Nambak,3,102.539432,20.58934
VTE,3G,VTE0522_KM9_SANG,XAITHANY,14,102.63171,18.02869
HUP,3G,HUP0080_M_XIENGKHO,Xiangkho,13,104.1456,20.81267
ATP,3G,ATP0086_OUDOMSAY,PHOUVONG,6,106.63904,14.67675
XKG,3G,XKG0001_LTC,Laman,9,106.726,15.3468
XSB,4G,XSB0006_THONGKHEM,Anouvong,3,103.057852,18.895622
VTE,4G,VTE0109_NONGTENG_MK,Sikhottabong,11,102.52528,18.0195
VTE,4G,VTE0444_KM24_PHAILOM,XAITHANY,12,102.778,18.0597
VTE,4G,VTE0535_TADTEVADA,XAITHANY,8,102.747,18.2794
BLK,3G,BLK0046_TECHNO_OFFICE,Pakxan,9,103.647427,18.395223
UDX,2G,UDX0096_MEOWJAY,Namo,3,101.8041,21.16485
BLK,3G,BLK0030_PHONESAI,Pakxan,6,103.642109,18.389988
BLK,4G,BLK0108_NAMKOU,Pakkading,3,104.218677,18.197474
VTP,2G,VTP0009_NAMLEEK_DAM,Phonhong,2,102.3891,18.6159
UDX,4G,UDX0029_KORNOY,XAY,3,101.943,20.7673
LNT,4G,LNT0059_M_NALEA,NALAE,6,101.44674,20.53184
BLK,3G,BLK0199_BORKHAMNAKADOK,Khamkeut,10,105.167584,18.122217
HUP,4G,HUP0001_LTC_OFFICE,XAMNUEA,8,104.04754,20.41441
CHP,3G,CHP0035_SUANSAWAN,Pakxe,6,105.83129,15.11166
CHP,3G,CHP0055_CHAMPASAK3,Pakxe,18,105.86933,15.09823
BLK,4G,BLK0028_PATXOUM_TAI,PAKSAN,3,103.70845,18.423708
SVN,4G,SVN0181_KUTBORN,KAISONE,3,105.202824,16.623887
VTE,4G,VTE0467_NONBORKEO,XAITHANY,8,102.64803,18.119
KHM,3G,KHM0111_LANGKHANG,BOUALAPHA,7,104.9695015,17.2305817
CHP,3G,CHP0267_NASAVANG,Champasak,6,105.782,14.807
UDX,3G,UDX0145_HUAYHOU_AMT,NAMOR,4,101.710115,20.807953
VTE,2G,VTE0514_PHOUKHAM,XAITHANY,3,102.63557,18.14051
VTE,3G,VTE0218_PHONTHAN,Xaisettha,18,102.64089,17.95956
SLV,2G,SLV0007_NAKOK,SALAVAN,3,106.41073,15.69469
VTE,4G,VTE0673_PHONSAWATH,Sikhottabong,3,102.527457,18.00055
SVN,3G,SVN0304_HUAYCHENGMAI,Xepon,6,106.242644,16.689008
BOK,3G,BOK0061_HUAXIN5,Tonpheung,6,100.1055,20.33249
KHM,4G,KHM0123_NAKATANG,Gnommalat,1,104.90167,17.06787
KHM,2G,KHM0214_THALANG,NAKAY,2,105.762,17.6666
XKH,4G,XKH0045_SINASU,Pek,6,103.086114,19.39195
CHP,4G,CHP0340_KM30_13S_ROAD,Pathoumphon,5,105.938,14.9381
VTE,3G,VTE0414_DONNOUN6,XAITHANY,6,102.653127,18.051354
LNT,4G,LNT0039_DK14,LOUANGNAMTHA,14,101.669509,21.155889
SVN,4G,SVN0194_XIANGXOUM,Champhon,3,105.244232,16.459811
