adate,Prov,Network,BTS,District,Total_Cell,Cell_down,Downtime_hour,Count_downtime,AVG_downhour,Issue,Type,Long,Latt
20230321,CHP,3G,CHP0217_KILI,Xanasomboun,6,0,0,0,0,,Cell,105.822465,15.395952
20230228,VTE,4G,VTE0064_WATCHAN,Chanthabouri,14,0,0,0,0,,Cell,102.602,17.9655
20230321,HUP,2G,HUP0076_NATONG,Xiangkho,2,0,0,0,0,,Cell,104.07603,20.87135
20230321,VTE,2G,VTE0699_NALERT,Pak-Ngum,3,0,0,0,0,,Cell,103.00793,18.04115
20230228,VTP,2G,VTP0270_M_MAED,MEAD,3,0,0,0,0,,Cell,101.9297,18.8299
20230228,VTP,3G,VTP0150_DONKUAD,Viengkham,6,0,0,0,0,,Cell,102.5417,18.3955
20230228,SVN,2G,SVN0202_PHONDOK,Champhon,3,0,0,0,0,,Cell,105.19432,16.5873
20230228,XYL,3G,XYL0033_NAMKHONG_OFFICE3,Xaiyabouly,10,0,0,0,0,,Cell,101.82947,19.245206
20230321,VTE,3G,VTE0261_DONGSAVAT2,Sisattanak,6,0,0,0,0,,Cell,102.64132,17.91297
20230228,CHP,3G,CHP0161_BANXOTH,Pakxong,8,0,0,0,0,,Cell,106.5972,15.05972
20230228,CHP,3G,CHP0264_KUNYENG_MK,PHONTHONG,5,0,0,0,0,,Cell,105.88283,14.943064
20230321,XKH,4G,XKH0036_PHOUKHAM_MK,Pek,8,0,0,0,0,,Cell,103.21893,19.452997
20230321,CHP,3G,CHP0173_DANNAVIENG,Phonthong,4,0,0,0,0,,Cell,105.5793,15.15616
20230228,XYL,2G,XYL0152_HOUAYTONG,Xianghon,3,0,0,0,0,,Cell,100.70097,19.55003
20230321,BLK,2G,BLK0020_NA_OI_NOU,Pakxan,2,0,0,0,0,,Cell,103.8305,18.419275
20230228,LNT,3G,LNT0074_SEELIHUEANG,Sing,6,0,0,0,0,,Cell,101.133414,21.17269
20230228,BLK,2G,BLK0071_NAMKATA,khamkeut,2,0,0,0,0,,Cell,105.035,18.1118
